log.prior	log.likelihood	log.likelihood.test.set
-7.167506646992561627e+02 -6.030234121627355535e+02 -1.794811850717889001e+01
-7.188623517718301628e+02 -6.036425770676041793e+02 -1.832609273111825132e+01
-7.257568395844599536e+02 -6.044313191189271492e+02 -1.929127048211756801e+01
-7.346528698821412036e+02 -6.029065648840614813e+02 -1.858971355127260949e+01
-7.260439724897145197e+02 -6.058540838073095074e+02 -1.873350771886089206e+01
-7.243983818247162390e+02 -6.056791083578468715e+02 -1.865321867640170694e+01
-7.252785284367316763e+02 -6.012728583976011123e+02 -1.896545566834885221e+01
-7.295872702134993233e+02 -6.046314866633301790e+02 -1.879209435548125384e+01
-7.302280769075167655e+02 -5.996382417280719892e+02 -1.825023371986344500e+01
-7.318944406487727292e+02 -6.051135027546774836e+02 -1.833902749650400210e+01
-7.300338473348286925e+02 -6.020481330464480152e+02 -1.872015114740668196e+01
-7.312732998155757969e+02 -6.089974280828187148e+02 -1.871260767895603294e+01
-7.381084660630868939e+02 -6.040780494764744617e+02 -1.847046074615286670e+01
-7.387580889576709069e+02 -6.126251635885070073e+02 -1.928024132959166081e+01
-7.412006370232036261e+02 -6.042878279747333181e+02 -1.946854326123008150e+01
-7.341219897271430455e+02 -6.028644829051545457e+02 -1.874214046349806040e+01
-7.384780018510314221e+02 -6.058547988996490403e+02 -1.935764980802377977e+01
-7.301600430544896199e+02 -6.074393809123803294e+02 -1.962832073137940370e+01
-7.242635076478887868e+02 -6.061135849377395743e+02 -1.907012463672464264e+01
-7.274511627806399474e+02 -5.984847081958034778e+02 -1.925197298504713217e+01
-7.275068170165460515e+02 -6.040285283250348130e+02 -1.892971221905423818e+01
-7.198062458246239430e+02 -6.093573659705623413e+02 -1.857898745247823058e+01
-7.221241364361624164e+02 -6.056161494691231155e+02 -1.851030447090022335e+01
-7.229572624547212172e+02 -6.025643268899518716e+02 -1.883322627148726269e+01
-7.189253648450462606e+02 -6.040323716911366319e+02 -1.812563948435717975e+01
-7.233808004553814044e+02 -6.005360779976016374e+02 -1.822371777325338371e+01
-7.147209603836488441e+02 -5.989777835371448873e+02 -1.825132776868787232e+01
