influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 9.751056969415692777e+00 9.842404103231856993e+00 9.198368109931562842e+00 0.000000000000000000e+00 1.504974415674265632e-07 9.022202766150396513e+00 7.564694015336715260e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.823571937685558808e+00 9.931639423977410175e+00 9.473346239201195118e+00 0.000000000000000000e+00 1.264240461346347247e-07 9.507478745341424897e+00 9.162228321074724846e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.710312632810449429e+00 9.819800242425504422e+00 9.362436235807345852e+00 0.000000000000000000e+00 4.246213218619138611e-07 9.533914697702972063e+00 8.626096558004709536e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.563168896144301101e+00 9.118585173925319864e+00 8.221529260934234529e+00 0.000000000000000000e+00 3.146408788650750392e-07 9.737680396075775846e+00 8.999609811647472313e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.884586940839666269e+00 9.725766383796628389e+00 9.717365710074378882e+00 0.000000000000000000e+00 4.451760622084736303e-06 9.666947818592598551e+00 9.537872986359984040e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.350187505949133282e+00 9.773031072039668032e+00 6.871222520234303133e+00 0.000000000000000000e+00 3.989873786974770705e-06 9.960252915868732515e+00 7.845797209028142483e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.358521504590148865e+00 9.499262284036351645e+00 6.933377862774984024e+00 0.000000000000000000e+00 1.832207338458580830e-06 9.677837725022396143e+00 8.869272819652092466e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.908937190998223343e+00 9.591169913159141913e+00 1.517665249850152165e+00 0.000000000000000000e+00 2.156060324612254111e-06 9.751495228373617152e+00 8.592226624099097876e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.129158287667911154e+00 9.367703876123323781e+00 6.157288464187615773e+00 0.000000000000000000e+00 8.799312058752178318e-08 9.968864427638633785e+00 9.333225219641931858e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.946028126110075362e+00 9.228334117252297020e+00 8.903231911042414737e+00 0.000000000000000000e+00 1.206821149427254472e-07 9.898132616012910390e+00 7.966114770907718245e+00 0.000000000000000000e+00
0.000000000000000000e+00 6.904672367019577095e+00 9.427103301953902559e+00 7.498726916942925591e+00 0.000000000000000000e+00 1.734818685738476848e-07 9.872822715840598562e+00 8.507154653915943499e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.900071167735941202e+00 9.115056541209433760e+00 9.496866479010170892e+00 0.000000000000000000e+00 2.579169310510242660e-07 9.895149136317771266e+00 7.817614208502641659e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.759783202771476596e+00 9.744541235845920468e+00 8.895507431293706802e+00 0.000000000000000000e+00 3.800360922978613779e-07 9.696621311974672253e+00 8.733994228230045564e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.644513501863315241e+00 9.913950177179412293e+00 1.335779506065357669e+00 0.000000000000000000e+00 5.654756013753885207e-07 9.442208313005577835e+00 8.263218308699029180e+00 0.000000000000000000e+00
